"TIME","GEO","density","gdp","employment"
2010,"DE714",NA,14232.57,175.11
2010,"DE715",NA,6925.88,101.79
2010,"DE716",NA,6403.66,100.35
2010,"DE717",NA,9000.85,117.35
2010,"DE718",NA,9624.08,113.11
2010,"DE719",NA,11449.5,164.9
2010,"DE71A",NA,10373.94,115.52
2010,"DE71B",NA,2112.21,37.84
2010,"DE71C",NA,11195.43,151.06
2010,"DE71D",NA,3699.26,61.88
2010,"DE71E",NA,6949.89,115.58
2010,"DE72",NA,28420.16,487.47
2010,"DE721",NA,7647.9,128.9
2010,"DE722",NA,7120.81,122.28
2010,"DE723",NA,4048.65,73.04
2010,"DE724",NA,7304.98,119.25
2010,"DE725",NA,2297.81,44.01
2010,"DE73",NA,35315.34,613.11
2010,"DE731",NA,8029.92,142.84
2010,"DE732",NA,6786.58,117.01
2010,"DE733",NA,3953.34,60.38
2010,"DE734",NA,5405.28,93.64
2010,"DE735",NA,4499.93,76.71
2010,"DE736",NA,4504.72,80.18
2010,"DE737",NA,2135.57,42.35
2010,"DE8",NA,34651.38,748.28
2010,"DE80",NA,34651.38,748.28
2010,"DE803",NA,5751.32,106.34
2010,"DE804",NA,2938,65.1
2010,"DE80J",NA,5899.69,129.68
2010,"DE80K",NA,4187.57,87.72
2010,"DE80L",NA,4507.42,102.67
2010,"DE80M",NA,2870.69,60.5
2010,"DE80N",NA,4584.1,108.95
2010,"DE80O",NA,3912.6,87.33
2010,"DE9",NA,225760.31,3740.8
2010,"DE91",NA,56338.4,764.82
2010,"DE911",NA,14859.52,149.92
2010,"DE912",NA,3814.38,55.16
2010,"DE913",NA,13442.75,109.85
2010,"DE914",NA,2769.94,53.91
2010,"DE916",NA,3240.93,61.72
2010,"DE917",NA,1605.36,28.68
2010,"DE918",NA,3103.31,59.56
2010,"DE91A",NA,2427.85,43.44
2010,"DE91B",NA,1945.86,36.06
2010,"DE91C",NA,9128.5,166.52
2010,"DE92",NA,65459.62,1052.9
2010,"DE922",NA,5093.68,91.26
2010,"DE923",NA,4448.19,69.59
2010,"DE925",NA,6420.55,121.91
2010,"DE926",NA,1868.07,30.28
2010,"DE927",NA,2798.05,51.9
2010,"DE928",NA,3062.02,61.14
2010,"DE929",NA,41769.05,626.84
2010,"DE93",NA,35994.95,692
2010,"DE931",NA,4206.72,76.46
2010,"DE932",NA,3415.88,69.39
2010,"DE933",NA,4411.92,84.36
2010,"DE934",NA,962.39,20.01
2010,"DE935",NA,3748.84,77.12
2010,"DE936",NA,1817.83,37.62
2010,"DE937",NA,3891.58,78.16
2010,"DE938",NA,3448.72,67.35
2010,"DE939",NA,4757.74,83.36
2010,"DE93A",NA,1949.64,39.2
2010,"DE93B",NA,3383.7,58.99
2010,"DE94",NA,67967.34,1231.08
2010,"DE941",NA,1385.03,30.89
2010,"DE942",NA,2475.82,37.69
2010,"DE943",NA,6222.69,108.65
2010,"DE944",NA,6319.11,116.71
2010,"DE945",NA,2689.26,44.77
2010,"DE946",NA,2658.3,53.88
2010,"DE947",NA,3634.65,75.92
2010,"DE948",NA,4364.33,76.92
2010,"DE949",NA,10043.4,165.54
2010,"DE94A",NA,1997.44,40.1
2010,"DE94B",NA,3242.91,63.91
2010,"DE94C",NA,3588.31,67.51
2010,"DE94D",NA,2324.44,49
2010,"DE94E",NA,8238.85,154.48
2010,"DE94F",NA,4538.63,83.65
2010,"DE94G",NA,3169.61,37.63
2010,"DE94H",NA,1074.57,23.83
2010,"DEA",NA,554212.68,8787.67
2010,"DEA1",NA,176390.54,2613.95
2010,"DEA11",NA,41259.35,492.6
2010,"DEA12",NA,14884.71,222.37
2010,"DEA13",NA,22994.14,318.42
2010,"DEA14",NA,7675.74,117.16
2010,"DEA15",NA,6962.44,124.49
2010,"DEA16",NA,5229.98,80.82
2010,"DEA17",NA,4906.81,90.48
2010,"DEA18",NA,3268.89,59.22
2010,"DEA19",NA,3837.79,69.48
2010,"DEA1A",NA,10444.96,162.84
2010,"DEA1B",NA,6797.56,132.81
2010,"DEA1C",NA,15954.83,240.61
2010,"DEA1D",NA,14667.54,190.41
2010,"DEA1E",NA,6928.81,123.92
2010,"DEA1F",NA,10577.01,188.34
2010,"DEA2",NA,146643.46,2194.83
2010,"DEA22",NA,21648.26,232.43
2010,"DEA23",NA,48021.91,676.12
2010,"DEA24",NA,6692.52,79.65
2010,"DEA26",NA,6194.05,110.8
2010,"DEA27",NA,12446.53,184.54
2010,"DEA28",NA,4187.86,77.32
2010,"DEA29",NA,4607.42,94.22
2010,"DEA2A",NA,7538.53,131
2010,"DEA2B",NA,5711.13,105.52
2010,"DEA2C",NA,13471.19,223.75
2010,"DEA2D",NA,16124.07,279.48
2010,"DEA3",NA,70468.55,1204.77
2010,"DEA31",NA,2216.34,48.21
2010,"DEA32",NA,7454.7,113.42
2010,"DEA33",NA,14300.18,201.57
2010,"DEA34",NA,10368.85,186.83
2010,"DEA35",NA,4768.92,90.91
2010,"DEA36",NA,13642.66,236.18
2010,"DEA37",NA,10779.82,204.15
2010,"DEA38",NA,6937.08,123.5
2010,"DEA4",NA,59844.16,1026.89
2010,"DEA41",NA,10354.78,185.03
2010,"DEA42",NA,13040.91,193.91
2010,"DEA43",NA,6663.46,118.06
2010,"DEA44",NA,3174.99,62.89
2010,"DEA45",NA,8319.35,153.69
2010,"DEA46",NA,9833.72,160.76
2010,"DEA47",NA,8456.96,152.54
2010,"DEA5",NA,100865.98,1747.24
2010,"DEA51",NA,10452.02,180.08
2010,"DEA52",NA,17635.57,305.85
2010,"DEA53",NA,5644.28,98.42
2010,"DEA54",NA,4531.08,79.19
2010,"DEA55",NA,3212.33,65.22
2010,"DEA56",NA,8302.33,141.83
2010,"DEA57",NA,7515.44,140.06
2010,"DEA58",NA,12283.16,206.81
2010,"DEA59",NA,4109.38,73.81
2010,"DEA5A",NA,8920.95,149.72
2010,"DEA5B",NA,8653.31,144.16
2010,"DEA5C",NA,9606.13,162.09
2010,"DEB",NA,112474.6,1905.05
2010,"DEB1",NA,38776.33,709.63
2010,"DEB11",NA,6282.13,99.62
2010,"DEB12",NA,2494.41,49.43
2010,"DEB13",NA,2845.22,54.12
2010,"DEB14",NA,3760.94,72.95
2010,"DEB15",NA,1913.81,39.03
2010,"DEB17",NA,5052.09,92.65
2010,"DEB18",NA,4599.77,81.34
2010,"DEB1A",NA,2554.21,47.97
2010,"DEB1B",NA,5071.03,92.65
2010,"DEB1C",NA,1518.87,29.84
2010,"DEB1D",NA,2683.86,50.03
2010,"DEB2",NA,12622.91,252.97
2010,"DEB21",NA,3997.13,78.96
2010,"DEB22",NA,2796.41,55.83
2010,"DEB23",NA,2254.43,41.53
2010,"DEB24",NA,1512.22,29.48
2010,"DEB25",NA,2062.73,47.17
2010,"DEB3",NA,61075.35,942.45
2010,"DEB31",NA,1433.06,22.59
2010,"DEB32",NA,3758.23,69.3
2010,"DEB33",NA,1472.27,28.7
2010,"DEB34",NA,11659.69,113.52
2010,"DEB35",NA,10310.3,146.87
2010,"DEB36",NA,1340.1,27.32
2010,"DEB37",NA,1325.07,27.13
2010,"DEB38",NA,1989.47,34.97
2010,"DEB39",NA,2321.87,40.97
2010,"DEB3A",NA,1291.15,23.56
2010,"DEB3B",NA,2557.51,44.61
2010,"DEB3C",NA,2427.08,46.06
2010,"DEB3D",NA,1606.33,28.71
2010,"DEB3E",NA,3658.96,55.8
2010,"DEB3F",NA,1703.83,32.48
2010,"DEB3G",NA,1090.57,22.29
2010,"DEB3H",NA,2210.85,40.9
2010,"DEB3I",NA,2305.57,41.6
2010,"DEB3J",NA,5354.03,70.41
2010,"DEB3K",NA,1259.42,24.67
2010,"DEC",NA,30048.54,519.39
2010,"DEC0",NA,30048.54,519.39
2010,"DEC01",NA,12163.46,209.06
2010,"DEC02",NA,2488.33,42.72
2010,"DEC03",NA,2780.6,53.14
2010,"DEC04",NA,5583.84,97.86
2010,"DEC05",NA,5044.9,81.51
2010,"DEC06",NA,1987.4,35.09
2010,"DED",NA,94818.17,1970.64
2010,"DED2",NA,37722.45,767.03
2010,"DED21",NA,16440.55,303.57
2010,"DED2C",NA,6193.6,140.49
2010,"DED2D",NA,5504.76,114
2010,"DED2E",NA,5348.17,109.3
2010,"DED2F",NA,4235.36,99.68
2010,"DED4",NA,33038.63,711.05
2010,"DED41",NA,6864.76,146.89
2010,"DED42",NA,6446.14,150.68
2010,"DED43",NA,7350.49,144.39
2010,"DED44",NA,4780.08,106.74
2010,"DED45",NA,7597.15,162.35
2010,"DED5",NA,24057.08,492.56
2010,"DED51",NA,14453.84,301.31
2010,"DED52",NA,5223.03,98.7
2010,"DED53",NA,4380.21,92.55
2010,"DEE",NA,51119.81,1026.74
2010,"DEE0",NA,51119.81,1026.74
2010,"DEE01",NA,2073.24,45.19
2010,"DEE02",NA,6001.31,126.16
2010,"DEE03",NA,6932.56,140.1
2010,"DEE04",NA,1687.39,37.73
2010,"DEE05",NA,4072.88,73.97
2010,"DEE06",NA,1831.36,39.3
2010,"DEE07",NA,3898.12,71.42
2010,"DEE08",NA,3827.73,73.43
2010,"DEE09",NA,4150.56,93.79
2010,"DEE0A",NA,2421.19,54.11
2010,"DEE0B",NA,5417.26,84.25
2010,"DEE0C",NA,3929.68,84.06
2010,"DEE0D",NA,2258.74,50.01
2010,"DEE0E",NA,2617.79,53.23
2010,"DEF",NA,72934.88,1307.36
2010,"DEF0",NA,72934.88,1307.36
2010,"DEF01",NA,3013.76,56.08
2010,"DEF02",NA,9135.2,159.04
2010,"DEF03",NA,7324.78,122.96
2010,"DEF04",NA,2446.09,47.18
2010,"DEF05",NA,3233.86,56.25
2010,"DEF06",NA,3459.41,65.35
2010,"DEF07",NA,4596.06,85.81
2010,"DEF08",NA,3952.49,83.57
2010,"DEF09",NA,7500.22,121.84
2010,"DEF0A",NA,2157.1,43.37
2010,"DEF0B",NA,5902.51,112.49
2010,"DEF0C",NA,3917.91,78.01
2010,"DEF0D",NA,6331.61,114.38
2010,"DEF0E",NA,3596.22,55.4
2010,"DEF0F",NA,6367.67,105.66
2010,"DEG",NA,47828.59,1044.71
2010,"DEG0",NA,47828.59,1044.71
2010,"DEG01",NA,6651.82,139.84
2010,"DEG02",NA,2299.28,54.19
2010,"DEG03",NA,3403.08,63.98
2010,"DEG04",NA,999.07,22.95
2010,"DEG05",NA,1608.95,34.57
2010,"DEG06",NA,1872.25,44.41
2010,"DEG07",NA,1697.3,38.92
2010,"DEG09",NA,2020.3,45.76
2010,"DEG0A",NA,1318.93,30.78
2010,"DEG0B",NA,2677.42,58.54
2010,"DEG0C",NA,2862.69,62.3
2010,"DEG0D",NA,1234.59,28.02
2010,"DEG0E",NA,1131.22,25.97
2010,"DEG0F",NA,2420.83,49.16
2010,"DEG0G",NA,1485.22,33.06
2010,"DEG0H",NA,1266.03,27.66
2010,"DEG0I",NA,2236.77,49.24
2010,"DEG0J",NA,1586.88,36.14
2010,"DEG0K",NA,1821.48,41.16
2010,"DEG0L",NA,1765.69,39.48
2010,"DEG0M",NA,1621.02,37.64
2010,"DEG0N",NA,1229.5,28.38
2010,"DEG0P",NA,2618.27,52.56
2010,"EE",NA,14860.7,548.1
2010,"EE0",NA,14860.7,548.1
2010,"EE00",NA,14860.7,548.1
2010,"EE001",NA,8905.05,267.8
2010,"EE004",NA,1323.46,56.5
2010,"EE006",NA,890.76,45.1
2010,"EE007",NA,1155.11,54.5
2010,"EE008",NA,2583.58,124.2
2010,"IE",NA,167673.7,1882.49
2010,"IE0",NA,167673.7,1882.49
2010,"IE04",NA,20506.93,318.2
2010,"IE041",NA,7957.3,138.01
2010,"IE042",NA,12549.63,180.19
2010,"IE05",NA,52960.88,624.84
2010,"IE051",NA,14424.63,191.94
2010,"IE052",NA,9716.22,158.21
2010,"IE053",NA,28820.03,274.69
2010,"IE06",NA,94205.88,939.45
2010,"IE061",NA,71038.56,615.16
2010,"IE062",NA,17331.94,222.97
2010,"IE063",NA,5835.38,101.31
2010,"EL",NA,224124,4706.43
2010,"EL3",NA,108739.1,1823.82
2010,"EL30",NA,108739.1,1823.82
2010,"EL301",NA,18689.14,294.94
2010,"EL302",NA,7131.89,141.04
2010,"EL303",NA,39021.83,652.66
2010,"EL304",NA,12606.74,203.87
2010,"EL305",NA,13091.44,217.91
2010,"EL306",NA,5642.9,92.47
2010,"EL307",NA,12555.17,220.94
2010,"EL4",NA,21249.16,498.16
2010,"EL41",NA,3174.77,74.95
2010,"EL411",NA,1642.13,39.83
2010,"EL412",NA,702.36,16.32
2010,"EL413",NA,830.28,18.79
2010,"EL42",NA,7211.32,144.51
2010,"EL421",NA,3918.36,91.23
2010,"EL422",NA,3292.96,53.28
2010,"EL43",NA,10863.07,278.7
2010,"EL431",NA,5402.03,142.46
2010,"EL432",NA,1316.96,34.15
2010,"EL433",NA,1378.34,35.54
2010,"EL434",NA,2765.73,66.54
2010,"EL5",NA,49335.15,1246.04
2010,"EL51",NA,9160.13,238.69
2010,"EL511",NA,2376.94,54.53
2010,"EL512",NA,1569.53,45.61
2010,"EL513",NA,1532.89,53.59
2010,"EL514",NA,1273.54,28.41
2010,"EL515",NA,2407.22,56.54
2010,"EL52",NA,30135.73,769.61
2010,"EL521",NA,2016.25,52.77
2010,"EL522",NA,19627.51,491.25
2010,"EL523",NA,1124.52,30.36
2010,"EL524",NA,1938.34,62.04
2010,"EL525",NA,1725.03,48.31
2010,"EL526",NA,2015.77,55.7
2010,"EL527",NA,1688.32,29.17
2010,"EL53",NA,5093.52,103.26
2010,"EL531",NA,3473.62,63.84
2010,"EL532",NA,635.52,22.03
2010,"EL533",NA,984.39,17.38
2010,"EL54",NA,4945.77,134.49
2010,"EL541",NA,1743.24,54.55
2010,"EL542",NA,730.03,15.5
2010,"EL543",NA,2472.5,64.45
2010,"EL6",NA,44800.58,1138.41
2010,"EL61",NA,10764.57,304.95
2010,"EL611",NA,3007.13,104.53
2010,"EL612",NA,4654.45,127.15
2010,"EL613",NA,3102.99,73.27
2010,"EL62",NA,3972.27,93.81
2010,"EL621",NA,912.94,27.69
2010,"EL622",NA,1877.82,46.68
2010,"EL623",NA,800.21,11.47
2010,"EL624",NA,381.3,7.96
2010,"EL63",NA,10523.64,277.21
2010,"EL631",NA,2949.46,80.7
2010,"EL632",NA,5471.02,129.47
2010,"EL633",NA,2103.16,67.05
2010,"EL64",NA,10025.41,223.84
2010,"EL641",NA,2975.24,54.1
2010,"EL642",NA,3521.91,70.45
