"TIME","GEO","UNIT","Value","Flag and Footnotes"
"2015","DE249","PER_KM2","108.1",""
"2015","DE24A","PER_KM2","104.2",""
"2015","DE24B","PER_KM2","110.2",""
"2015","DE24C","PER_KM2","128.1",""
"2015","DE24D","PER_KM2","120.9",""
"2015","DE25","PER_KM2","238.4",""
"2015","DE251","PER_KM2","405.8",""
"2015","DE252","PER_KM2","1,394.5",""
"2015","DE253","PER_KM2","1,949.9",""
"2015","DE254","PER_KM2","2,717.9",""
"2015","DE255","PER_KM2","980.1",""
"2015","DE256","PER_KM2","91.5",""
"2015","DE257","PER_KM2","236.3",""
"2015","DE258","PER_KM2","371.6",""
"2015","DE259","PER_KM2","208.5",""
"2015","DE25A","PER_KM2","77.6",""
"2015","DE25B","PER_KM2","139.1",""
"2015","DE25C","PER_KM2","95.7",""
"2015","DE26","PER_KM2","152.7",""
"2015","DE261","PER_KM2","1,106.1",""
"2015","DE262","PER_KM2","1,438.6",""
"2015","DE263","PER_KM2","1,415.3",""
"2015","DE264","PER_KM2","247.8",""
"2015","DE265","PER_KM2","90.6",""
"2015","DE266","PER_KM2","78.0",""
"2015","DE267","PER_KM2","88.2",""
"2015","DE268","PER_KM2","130.0",""
"2015","DE269","PER_KM2","179.0",""
"2015","DE26A","PER_KM2","95.4",""
"2015","DE26B","PER_KM2","135.9",""
"2015","DE26C","PER_KM2","165.1",""
"2015","DE27","PER_KM2","183.5",""
"2015","DE271","PER_KM2","1,930.2",""
"2015","DE272","PER_KM2","1,059.3",""
"2015","DE273","PER_KM2","1,052.2",""
"2015","DE274","PER_KM2","607.4",""
"2015","DE275","PER_KM2","166.8",""
"2015","DE276","PER_KM2","228.0",""
"2015","DE277","PER_KM2","118.7",""
"2015","DE278","PER_KM2","160.7",""
"2015","DE279","PER_KM2","327.7",""
"2015","DE27A","PER_KM2","247.4",""
"2015","DE27B","PER_KM2","98.1",""
"2015","DE27C","PER_KM2","113.5",""
"2015","DE27D","PER_KM2","102.6",""
"2015","DE27E","PER_KM2","99.4",""
"2015","DE3","PER_KM2","3,922.5",""
"2015","DE30","PER_KM2","3,922.5",""
"2015","DE300","PER_KM2","3,922.5",""
"2015","DE4","PER_KM2","83.3",""
"2015","DE40","PER_KM2","83.3",""
"2015","DE401","PER_KM2","310.0",""
"2015","DE402","PER_KM2","599.9",""
